Description,TotalSalesDollars,ProfitMargin
Ch Lynch Bages Paulliac 11,9099.35,93.88681609125926
Ch Lynch Moussas Pauilac,1151.68,85.88670464017784
Ch Magdelaine 10 St Emilion,2419.7799999999997,81.19002553951185
Ch Malartic Lagravier 12 RG,2949.41,70.97724629671697
Ch Malartic-Lagraviere Rouge,117.98,34.209187997965756
Ch Marquis d'Alesme,443.88,31.981616653149498
Ch Marquis de Terme 12 Mrgx,741.86,37.265791389210904
Ch Messile Aubert Montgne St,1627.2600000000004,61.778080945884504
Ch Monbousquet 10 Brdx,449.94,20.096012801706898
Ch Monestier La Tour Blanc,179.88,42.96197464976651
Ch Montelena Est Cab Svgn Np,389.97,35.06423571043927
Ch Moulin de Pillardot 10,2516.709999999998,75.41234389341639
Ch Moulin de la Rose St-Juln,2379.6499999999996,36.292311894606335
